Mature Lymphocyte	UMLS:C1513026
Autologous NY-ESO-1 TCR-expressing CRISPR-edited (TCR and PD-1) T Cells	UMLS:C4727561
Autologous bi-epitope BCMA-targeted CAR T-cells	UMLS:C4727630
Autologous Natural Killer-like Cytotoxic Lymphocytes	UMLS:C4723770
sperm	UMLS:C0037868
AFP-C332 T cells	UMLS:C4527154
B-Cells	UMLS:C0004561
Sustentacular Cell of Testis	UMLS:C0036770
Cytoplasmic Ig mu cells	UMLS:C1440382
Leukocytes &#x7C; Bronchial &#x7C; Hematology and Cell counts	UMLS:C5170922
Autologous Anti-HER2 CAR T-cells CCT303-406	UMLS:C5554965
therapeutic invariant natural killer T cells	UMLS:C4723769
autologous ICASP9-CD19-expressing T lymphocytes	UMLS:C4329370
Alpha Beta T-Cell	UMLS:C4744787
blood cell precursor	UMLS:C0018956
polymorphs	UMLS:C0027950
autologous anti-mesothelin CAR-CD3zeta-4-1-BB-expressing T cells	UMLS:C4733678
HeLa Cells	UMLS:C0018873
CD5+ Lymphoblast	UMLS:C1267844
COS Cells	UMLS:C0376702
NIB-101	UMLS:C5667076
T cell	UMLS:C0039194
Hematopoietic Progenitor Cell	UMLS:C0018956
CD16-CD34+ lymphocyte	UMLS:C1267881
chromaffin cell	UMLS:C0376604
Autologous CCR4-CD30CAR-CD28-CD3zeta-expressing T-Lymphocytes	UMLS:C4733634
MB 102	UMLS:C5575170
MCF 7 Cells	UMLS:C0596890
MASE-T	UMLS:C5556709
PBMC Peripheral Blood Mononuclear Cells	UMLS:C1321301
LentiGlobin BB305 Lentiviral Vector-transduced Autologous CD34+ HSCs	UMLS:C5700424
autologous CAR-T NKR-2	UMLS:C4055424
Erythroid cells	UMLS:C1257751
Leukocytes &#x7C; Bronchoalveolar lavage &#x7C; Hematology and Cell counts	UMLS:C5572242
liver cell	UMLS:C0227525
Lymphocytes &#x7C; Body fluid &#x7C; Hematology and Cell counts	UMLS:C5171659
axicabtagene ciloleucel	UMLS:C3896829
huCART19 T-lymphocytes	UMLS:C4744702
Multi-4SCAR-T Cells	UMLS:C5555558
Interleukin-15 Armored Glypican 3-specific CAR iCasp9-expressing Autologous T Cells	UMLS:C5575455
autologous CD8+ SLC45A2-specific T lymphocytes	UMLS:C4727012
Cell, Epidermal	UMLS:C3496194
IL-12/Anti-NY-ESO-1 TCR-Expressing Autologous Peripheral Blood Lymphocytes	UMLS:C3827113
Inducer Cell	UMLS:C0018894
PaSC	UMLS:C2936598
MSGv1-EGFRvIII-CAR autologous T cells	UMLS:C4684956
WBC	UMLS:C0023516
Tumor-Derived Activated Cells	UMLS:C0080261
Autologous MuSK-CD3z/4-1BB-expressing CAART MuSK-CAART	UMLS:C5706536
Autologous HCC Antigens-specific CD8+ T lymphocytes	UMLS:C4725915
HeLa cell	UMLS:C0018873
Intraepithelial T Lymphocyte	UMLS:C1512944
Type 1 Regulatory T-Lymphocyte	UMLS:C4284002
Autologous HPV-16/18 E6/E7-specific TGF-beta-resistant T Lymphocytes	UMLS:C4050617
SCRI CAR22v2	UMLS:C5448063
JWCAR 029	UMLS:C4733633
CD20-specific 4th generation chimeric antigen receptor-modified T cells	UMLS:C4725101
APRIL CAR T Cells Targeting BCMA and TACI	UMLS:C4725789
cell l	UMLS:C0022827
autologous HPV-16 E6 TCR T cells	UMLS:C4726563
Cells, Null	UMLS:C0024265
Gamma Delta T Cells	UMLS:C1512944
Autologous Tumor-infiltrating Lymphocytes LN-145-S1	UMLS:C5417988
CD122+ lymphocyte	UMLS:C1268000
Muscle Cell, Cardiac	UMLS:C0225828
KTE X19	UMLS:C5392346
nerve cement	UMLS:C0027836
hematopoietic stem cell	UMLS:C0018956
Bi-4SCAR PSMA/CD70 T Cells	UMLS:C5708042
T-Cell, CD8-Positive Suppressor	UMLS:C1956157
Autologous Anti-GFRa4 CAR-T Cells	UMLS:C5556555
In-vitro DC-sensitized Autologous CTLs	UMLS:C4723770
AFP-C332 T Cells	UMLS:C4527154
Gamma/Delta T-Lymphocyte	UMLS:C1515186
Autologous Anti-MG7 CAR-T Cells	UMLS:C4724730
Autologous CISH-inactivated TILs	UMLS:C4726557
Ragocytes	UMLS:C0333833
cMet RNA CAR T cells	UMLS:C3831071
Cytotoxic T-lymphocyte	UMLS:C0039195
Autologous GPC3-CAR-IL-15-iC9-expressing T Cells	UMLS:C5575456
Autologous GPC3-CAR T Cells	UMLS:C4329326
autologous CMV-specific CTLs	UMLS:C3900001
T-Cells, Helper-Inducer	UMLS:C0018894
Cultured Cell Line	UMLS:C0007600
Autologous Anti-CD19 CAR-expressing T-lymphocytes UF-KURE19	UMLS:C5706469
Autologous Anti-HPV-16 E6 T-cell Receptor Gene-engineered Peripheral Blood Lymphocytes	UMLS:C3900005
Anti-hCD70-CAR Retroviral Vector-transduced Autologous Peripheral Blood Lymphocytes	UMLS:C4329343
Ameloblast	UMLS:C0002449
cells connective tissue	UMLS:C0009781
Cells, Antigen-Presenting	UMLS:C0003315
cone cell	UMLS:C0206428
autologous human anti-CD19CAR-4-1BB-CD3zeta-EGFRt-expressing CD4+/CD8+ T lymphocytes	UMLS:C4524461
Autologous Anti-HER2 CAR-T Cells CCT303-406	UMLS:C5554965
CARVYKTI	UMLS:C5577049
UWC19	UMLS:C5448048
autologous ovarian cancer-specific cytotoxic T lymphocytes	UMLS:C4733630
anti-CD19-CAR genetically engineered autologous T lymphocytes huJCAR014	UMLS:C4524461
Cells, T-Lymphoid Precursor	UMLS:C1955941
Autologous Transgenic T-cells Expressing Mesothelin-specific T-cell Receptor FH-TCR TMSLN	UMLS:C5446661
NUCLEATED RED CELLS	UMLS:C0014762
Autologous ICAM-1-targeted CAR T Cells AIC100	UMLS:C5417969
SNK 01	UMLS:C5554955
multinucleated giant cells	UMLS:C0017526
CD103+ T lymphocyte	UMLS:C4322820
Allogeneic CARCIK-CD19 Cells	UMLS:C4727557
Immature lymphocytes &#x7C; Blood &#x7C; Hematology and Cell counts	UMLS:C5168981
Spermium	UMLS:C0037868
blood corpuscles red	UMLS:C0014792
Memory Cells, Immunologic	UMLS:C5544464
MDA-TILs	UMLS:C4727163
Plasma cells.polyclonal	UMLS:C5142689
Autologous Genetically-modified MAGE-A4 C1032 T Cells	UMLS:C4528709
autologous 4H11-28z/fIL-12/EFGRt+ genetically-modified T cells	UMLS:C4084782
Spur Cell	UMLS:C0000886
baltaleucel-T	UMLS:C4289937
CD16+CD57-	UMLS:C0487770
monocytes	UMLS:C0026473
EGFRvIII-specific CAR-transduced autologous T lymphocytes	UMLS:C3899314
TCR-modified T Cells	UMLS:C4527420
MCAR-H125	UMLS:C5706462
Autologous Anti-PSCA(dCH2)BBz-CAR T-cells	UMLS:C4763825
Autologous Anti-MUC1*-CAR-4-1BB-CD3zeta-expressing T-lymphocytes	UMLS:C4764235
Autologous Anti-CD19 CAR-4-1BB-CD3zeta-expressing T-cells ARI-0001	UMLS:C5555879
autologous P-BCMA-101 CARTyrin-T cells	UMLS:C4684874
Autologous Third-generation Anti-CD19 Chimeric Antigen Receptor T-cells WZTL-002	UMLS:C5417828
Ameloblasts	UMLS:C0002449
neutrophilic granulocyte	UMLS:C0027950
RNA Electroporated CD19CAR-CD3zeta-4-1BB-expressing Autologous T-lymphocytes	UMLS:C3897804
Lymphocytes, Null	UMLS:C0024265
L Cells, Strain	UMLS:C0022827
Immature lymphocytes	UMLS:C1440938
CXCR2-transduced Autologous TILs	UMLS:C3899738
Red Blood Corpuscle	UMLS:C0014792
CD52+ lymphocyte	UMLS:C1267944
gammadelta T cells	UMLS:C4086901
EBV-CTL CD19CARzeta	UMLS:C2981182
Connective tissue macrophage	UMLS:C0019612
MDS Malignant Clone	UMLS:C4330725
Lymphocytes.large granular	UMLS:C0427526
CD3+CD16+ lymphocyte	UMLS:C1267817
Autologous CD7-CAR T-cells PA3-17	UMLS:C5667075
Hepatocyte	UMLS:C0227525
Autologous Anti-CD19/Anti-CD20 CAR T Cells EXP039	UMLS:C5555045
MAIT Cell	UMLS:C3891065
Myocytes, Skeletal	UMLS:C1704336
Autologous Anti-CD19 Chimeric Antigen Receptor T-lymphocytes AUTO1	UMLS:C5700423
Autologous Cytotoxic T-lymphocytes Induced with MUC1 Gene-transfected Dendritic Cells	UMLS:C4086005
autologous MAGE-A3/A6-specific TCR gene-engineered lymphocytes KITE-718	UMLS:C4525866
NY-ESO-1/MAGE-A4/PRAME/survivin/SSX2-specific autologous CTL	UMLS:C4724803
autologous DC1-CTL	UMLS:C4288083
lymphocytes reactive	UMLS:C4317010
T-Lymphocyte, Inducer	UMLS:C0018894
u937 cells	UMLS:C0600531
White blood cell	UMLS:C0023516
Autologous CEA-specific Cytotoxic T-lymphocytes	UMLS:C4086003
Autologous TGFbeta-Resistant HER2/EBV-Specific Cytotoxic T Lymphocytes	UMLS:C2827682
Multinucleated Giant Cells	UMLS:C0017526
Tumor Cell Line	UMLS:C0085983
Connective tissue cell	UMLS:C0009781
Autologous MUC16ecto-targeting EGFR-secreting T Lymphocytes	UMLS:C4084782
Neoplastic cells	UMLS:C0597032
cell helper t	UMLS:C0018894
anti-CD3/anti-EGFR-bispecific monoclonal antibody-armed activated autologous T lymphocytes	UMLS:C4085965
Supporting cell of organ of Corti	UMLS:C0022891
MB 106	UMLS:C5706491
Autologous CART-19:TCR Cells	UMLS:C3642444
Non-Granular Leukocytes	UMLS:C0023517
HepG2 Cell	UMLS:C2717940
Cell Lines, MDA-MB-231	UMLS:C5690732
Autologous Anti-PSMA/Anti-GD2 4SCAR-expressing Bispecific T-cells	UMLS:C5708040
Autologous Anti-HPV-16 E6 TCR T Cells	UMLS:C4726563
CD80+ lymphocyte	UMLS:C1267972
T-cell Receptor-engineered T Cells	UMLS:C4527420
CD100+ lymphocyte	UMLS:C1267987
Type 1 Regulatory T-Cell	UMLS:C4284002
Autologous LILRB4-targeted CAR-T Cells	UMLS:C5556348
Basophils	UMLS:C0004827
Immature Peripheral Alpha/Beta Cell of Cytotoxic Type	UMLS:C1512637
Gamete	UMLS:C0017471
CYIG+ lymphocyte	UMLS:C1267802
Cells, TH-1	UMLS:C0242632
Protoplasts	UMLS:C0033731
Autologous Natural Killer Cells SNK01	UMLS:C5554955
Gene-edited Autologous Neoantigen-targeted NeoTCR-P1 T-cells	UMLS:C5205974
CD63+ lymphocyte	UMLS:C1267956
eukaryotic cell	UMLS:C0015161
Autologous MG7-CART Cells	UMLS:C4329367
Follicular Ovarian Cell	UMLS:C1182635
Autologous CD7-CAR-CD28zeta-expressing T Cells	UMLS:C5575457
FRa-specific 4th generation CART cells	UMLS:C4725932
IL-12/Anti-NY-ESO-1 TCR-expressing autologous PBL	UMLS:C3827113
Nucleated Blood Cell	UMLS:C2347368
autologous anti-ROR2 CAR-T cells CCT301-59	UMLS:C4727550
Anti-FL(FITC-E2) CAR T-lymphocytes	UMLS:C4764048
Tumor infiltrating lymphocytes	UMLS:C0079722
autologous CRISPR/Cas 9-CISH knockout TILs	UMLS:C4726557
Hairy cell	UMLS:C0333850
K cell	UMLS:C0022686
PSMA/CD70 Bispecific 4SCAR-T Cells	UMLS:C5708042
Line, Cell	UMLS:C0007600
Null lymphocyte	UMLS:C0024265
Autologous IL-7-expanded HER2-specific CD4+ T-cells	UMLS:C5707292
Autologous TTRNA mRNA-loaded Lymphocyte Transfer Cells	UMLS:C4733660
BinD 19	UMLS:C4725691
Killer Cell, Lymphokine-Activated	UMLS:C0022687
Set of cholinergic cells	UMLS:C1183202
Anti-VEGFR2 Gene Engineered CD8+ Lymphocytes	UMLS:C3831510
B-Immunoblast	UMLS:C1516096
Neurons	UMLS:C0027882
Autologous Anti-CLL-1 CAR T Cells	UMLS:C5446539
cell clones	UMLS:C0009013
CytoTIL15	UMLS:C5708969
Memory B Cell	UMLS:C0682638
Acinar Cell	UMLS:C0596030
autologous HLA-A2/NY-ESO-1-specific TCR gene-transduced T lymphocytes	UMLS:C4055458
autologousCART-19:TCR cells	UMLS:C3642444
Anti-BCMA-CAR-41BB-CD3zeta-expressing T-cells CT053	UMLS:C5700419
myeloid cell	UMLS:C0887899
Cell, Testicular Interstitial	UMLS:C0023602
Autologous Anti-FLT3 CAR T Cells TAA05	UMLS:C5666913
Autologous TAAs-loaded Autologous DCs AV-GBM-1	UMLS:C4727558
UF-KURE19	UMLS:C5706469
Precursor Natural Killer Cell	UMLS:C1514302
SFG.CCR4-CAR.CD30 Autologous T-lymphocytes	UMLS:C4733634
Red Cell	UMLS:C0014792
Autologous Anti-BCMA:TCRz-4-1-BB CAR-T Cells	UMLS:C4725083
Transformed Skin-Homing T-Lymphocyte	UMLS:C1519602
U937 Cells	UMLS:C0600531
Hematopoietic cell	UMLS:C2323499
m-ceNK (TM)	UMLS:C5556651
Cells, Mast	UMLS:C0024880
Memory Cells, Immunological	UMLS:C5544464
Cell, NK	UMLS:C0022688
Autologous Anti-gp100CAR-CD3zeta-4-1BB-IL-15-PD1-expressing Tri-functional T-lymphocytes	UMLS:C5206704
Mouse Pre-T-Lymphocyte	UMLS:C1517818
Autologous Anti-CD19CAR-4-1BB-CD3zeta-EGFRt-expressing CD4+/CD8+ T-lymphocytes	UMLS:C4524461
TBI-1501	UMLS:C4725690
Set of neural cells	UMLS:C2953492
Cell, MAIT	UMLS:C3891065
Anti-HLA-A2/NY-ESO1 TCR-transduced Autologous T cells	UMLS:C4055458
Kymriah	UMLS:C4528643
Autologous CD19-28z Chimeric Antigen Receptor-expressing T-lymphocytes	UMLS:C3831440
Tisagenlecleucel-T	UMLS:C3640939
MAGE-A3/12-specific T-Cell Receptor Gene-transduced Autologous Peripheral Blood Lymphocytes	UMLS:C3898559
autologous CAR-T NKG2D	UMLS:C4055424
Anti-PD1 Antibody-activated Autologous TILs	UMLS:C5419508
Autologous CRISPR/Cas 9-CISH Knockout TILs	UMLS:C4726557
Autologous TILs LM103	UMLS:C5706428
White Blood Cell	UMLS:C0023516
PD-1 knockout autologous T lymphocytes	UMLS:C4288532
B-Lymphoblast	UMLS:C1516097
Bone Marrow Blood-Forming Cells	UMLS:C1511246
Cyclin D1 cells	UMLS:C1440380
SFG.CAR.CD30 autologous T lymphocytes	UMLS:C4733635
Lymphocytes &#x7C; Peritoneal fluid &#x7C; Hematology and Cell counts	UMLS:C5171664
Cells, Acinus	UMLS:C0596030
Cells, Mesophyll	UMLS:C2936408
CCT301-59	UMLS:C4727550
Myotube	UMLS:C1704336
Autologous Anti- LILRB4 CAR-T Cells	UMLS:C5556348
autologous GAP T cells	UMLS:C4329326
autologous Epstein-Barr virus-specific cytotoxic T lymphocytes	UMLS:C0393073
bbT-369	UMLS:C5667051
Leukocytes &#x7C; Semen &#x7C; Hematology and Cell counts	UMLS:C5170938
Lymphocytes &#x7C; Blood &#x7C; Hematology and Cell counts	UMLS:C5171657
hairy cell	UMLS:C0333850
ICAR30 T cells	UMLS:C3899815
T Cells, Intraepithelial	UMLS:C1512944
Type 2 helper cell	UMLS:C0242633
GC022	UMLS:C5417842
T-Lymphocyte, CD8-Positive	UMLS:C0242629
Vadacabtagene Leraleucel	UMLS:C4524846
T-Lymphocytes, Helper-Inducer	UMLS:C0018894
ET-140203	UMLS:C5446421
cells phagocytic	UMLS:C0031307
cells chinese hamster ovary	UMLS:C0085080
Leucocyte	UMLS:C0023516
CD4 Positive T Lymphocytes	UMLS:C0039215
GEN011	UMLS:C5555040
T Lymphocytes, Regulatory	UMLS:C0039198
Suppressor-Effector T-Lymphocytes	UMLS:C2355611
T-Cell, Helper-Inducer	UMLS:C0018894
T Lymphocytes, Helper	UMLS:C0018894
Autologous Anti-nectin-4/Anti-FAP CAR-T Cells	UMLS:C5421268
Multiple drug resistance cells	UMLS:C1440392
Thymocyte	UMLS:C0814999
Autologous CD34-positive Cells Transduced with TNS9.3.55	UMLS:C3899992
Autologous Memory Cytokine-Enhanced NK Cells	UMLS:C5556651
Set of antigen-presenting cells	UMLS:C4322559
Autologous Anti-SLAMF7 CAR-expressing T-cells	UMLS:C5205962
Alpha/Beta T Cell	UMLS:C4744787
PD-1 Nanobody-expressing Anti-MSLN CAR T-cells	UMLS:C5554942
CD20-scFv/CD28/CD137/CD27/CD3z-iCasp9 T-cells	UMLS:C4725101
autologous anti-PSMA gene-modified T-cells	UMLS:C2698278
AUTO 1	UMLS:C5700423
CD7.CAR/28zeta CAR CRISPR-edited T Cells	UMLS:C5206131
autologous NYCE cells	UMLS:C4727561
Anti-CD19 Humanized scFv TCRz-41BB-CAR Lentiviral Vector-transduced Autologous T-lymphocytes	UMLS:C4744702
anti-CD30-CAR/CD28z-CCR4 retroviral vector-transduced autologous T cells	UMLS:C4733634
Autologous CAR19 T-cells Carrying Cytoplasmic Activated PD-1	UMLS:C4764285
Cholinergic cells set	UMLS:C1183202
Anti-GD2/CD56 Bispecific 4SCAR-expressing T-cells	UMLS:C5708041
gp100-Reactive Autologous Tumor Infiltrating Lymphocyte	UMLS:C1515627
Autologous Anti-GM2 CAR T-cells NIB-101	UMLS:C5667076
Autologous Anti-ILT3 CAR-T Cells	UMLS:C5556348
Heart Muscle Cell	UMLS:C0225828
eosinophilic leukocyte	UMLS:C0014467
Autologous Anti-AXL CAR T Cells CCT30138	UMLS:C4727549
Autologous ICASP9-CD19-expressing T-Lymphocytes	UMLS:C4329370
Autologous FLT3-targeting CAR-T Cells TAA05	UMLS:C5666913
Anti-hCD70 Autologous CAR-transduced T Cells	UMLS:C4329343
Marrow Cells, Bone	UMLS:C0005955
Autologous CD4+/CD8+ EGFR806 Specific 4-1BB-CD3zeta-EGFRt-expressing CAR T Cells	UMLS:C4745144
CB-derived Expanded Allogeneic NK Cells	UMLS:C4725769
CD32+ lymphocyte	UMLS:C1267905
TH 17 Cells	UMLS:C2936411
PIpepTolDC	UMLS:C5447312
C CAR066	UMLS:C5447428
T Lymphocyte, Mucosal	UMLS:C1512944
Skeletal Muscle Tissue Cell	UMLS:C1704336
autologous HLA-A2/NY-ESO-1-specific TCR gene-transduced T lymphocytes	UMLS:C4084782
MAGE-A1-specific T Cell Receptor-transduced Autologous T-cells	UMLS:C5420606
Cell Lines, A549	UMLS:C4277577
cos cell	UMLS:C0376702
Autologous Anti-GD2CAR-CD28-CD3zeta-IL-15-expressing NKTs	UMLS:C5203880
Thymus Dependent Lymphocytes	UMLS:C0039194
Autologous DSG3 CAART DSG3-CAART	UMLS:C5667586
NTLA-5001	UMLS:C5666943
CCT301-38	UMLS:C4727549
Giant cells	UMLS:C0017526
Cells, L	UMLS:C0022827
Cardiomyocytes	UMLS:C0225828
Relma-cel	UMLS:C5551406
erythrocytic	UMLS:C0014792
Autologous B7-H3-targeting CAR T Cells	UMLS:C5239343
Autologous IL-12-expressing MTC RPTR 168	UMLS:C5555853
CLBR001	UMLS:C5446633
Secretory cell	UMLS:C1519221
mastocyte	UMLS:C0024880
muscle cell	UMLS:C0596981
PSMA-specific 4th Generation CART Cells	UMLS:C4725933
autologous gamma-retroviral MSGV1 139 scFv EGFRvIII CAR gene-modified T cells	UMLS:C4684956
Glypican-3-specific CAR T Cells	UMLS:C4055459
Autologous Anti-FRa-CD28-CD137-CD27-CD3z-iCasp9 CAR T-cells 4SCAR-FRa	UMLS:C4725932
Autologous Anti-EGFRvIII 4SCAR-IgT Cells	UMLS:C4725796
CD4-Positive Lymphocyte	UMLS:C0039215
TriPRIL CAR T Cells	UMLS:C5668451
Cell, Immunoglobulin-Producing	UMLS:C0003273
Autologous Anti-NY-ESO-1 TCR/Dominant-negative TGFΒRII-expressing T-cells GSK3845097	UMLS:C5446938
Cell, Connective Tissue	UMLS:C0009781
Autologous PBL Cotransduced with Retroviral Vectors Encoding Inducible IL-12 and Anti-NY-ESO-1 TCR	UMLS:C3827113
Lines, MDA-MB-231 Cell	UMLS:C5690732
Autologous Anti-CTLA-4/PD-1 Expressing EGFR-CAR-T Cells	UMLS:C4725929
Autologous Anti-GPC3 CAR-IL-15-iCasp9-expressing T-lymphocytes	UMLS:C5575456
Autologous CART-meso	UMLS:C4724860
CD34+ Lymphocyte	UMLS:C1267910
Epidermal cells	UMLS:C3496194
ATLCAR.CD30 cells	UMLS:C4733635
HT 29 Cells	UMLS:C0282639
B-Cells, Transitional	UMLS:C1512631
autologous T-cell antigen presenting cells expressing CD19t	UMLS:C4684462
Autologous Anti-CD19/CD20 Bispecific Nanobody-based CAR-T cells	UMLS:C5419436
LentiGlobin BB305 lentiviral vector-transduced autologous CD34+ HSCs	UMLS:C5700424
TH-2 Cells	UMLS:C0242633
Th2 Cell	UMLS:C0242633
TEG-002	UMLS:C5554901
CC 97540	UMLS:C5418107
Autologous CD8+ and CD4+ T-cells transduced with TCR A2-MCC1	UMLS:C4744782
autologous CT7/MAGE-A3/WT1 mRNA-electroporated Langerhans-type dendritic cells	UMLS:C3827138
Activated Lymphocyte	UMLS:C1515879
chimeric switch receptor PD1CD28 modified T cells	UMLS:C4329372
Virtual Memory T Cells	UMLS:C5545270
autologous TAAs-loaded autologous DCs AV-GBM-1	UMLS:C4727558
DNR-expressing nasopharyngeal carcinoma-specific cytotoxic T lymphocytes	UMLS:C3830410
Anti-CD22 scFv TCRz:41BB-CAR Lentiviral Vector-transduced Autologous T-lymphocytes	UMLS:C4085963
Cells, THP-1	UMLS:C4505192
Cells, T8	UMLS:C0242629
liver cells	UMLS:C0227525
Autologous Peripheral Blood Lymphocytes from Ibrutinib-treated Chronic Lymphocytic Leukemia Patients IOV-2001	UMLS:C5238365
IL13Ralpha2-specific hinge-optimized 41BB-co-stimulatory CAR truncated CD19-expressing autologous T-lymphocytes	UMLS:C3897094
Autologous Anti-B7-H3 CAR T Cells	UMLS:C5555777
B-cell maturation antigen-targeted EGFRt/BCMA-41BBz CAR-modified T cells	UMLS:C4724868
autologous anti-BCMA CAR4-1BBz T cells	UMLS:C4725083
thymus derived lymphocyte	UMLS:C0039194
EGFRBi-armed Autologous ATCs	UMLS:C4085964
anti-CD3 x anti-EGFR-bispecific antibody armed activated autologous T cells	UMLS:C4085965
histocyte	UMLS:C0019612
Autologous Anti-BCMA-CAR-4-1BB-CD3zeta-expressing T-cells CT053	UMLS:C5700419
Common Lymphoid Progenitor	UMLS:C1955939
GC 007F	UMLS:C5417841
TGFbDNRII-transduced Autologous TILs	UMLS:C3827836
T Cell Precursors	UMLS:C1955941
T lymphoblast	UMLS:C1515138
Autologous Anti-MuSK-CD3z/4-1BB-expressing CAART MuSK-CAART	UMLS:C5706536
Gamma Delta T Lymphocyte	UMLS:C1515186
neuroglias	UMLS:C0027836
Autologous ROR2-targeted CAR T-cells CCT301-59	UMLS:C4727550
Cell, Giant	UMLS:C0017526
Autologous HIV Gag-specific CD4-positive T-lymphocytes AGT103-T	UMLS:C5666887
helper T lymphocyte	UMLS:C0018894
Nucleated Erythrocytes	UMLS:C0014762
Type-2 Helper T Cell	UMLS:C0242633
Cells.CD5+CD19+	UMLS:C0487156
PIpepTolDC Vaccine	UMLS:C5447312
anti-AFP TCR-expressing autologous CTLs	UMLS:C4527154
autologous EGFRt/BCMA-41BBz CAR T cells	UMLS:C4724868
Leukocyte - Natural Killer Cell (MMHCC)	UMLS:C1524008
T Helper 2 Cell	UMLS:C0242633
4SCAR22 T cells	UMLS:C4725100
Autologous HBV-specific TCR-expressing T-lymphocytes SCG101	UMLS:C5706400
ITIL-168	UMLS:C5666883
Antigen Presenting Cell	UMLS:C0003315
relma-cel	UMLS:C5551406
MDA MB 231 Cell Line	UMLS:C5690732
Autologous Anti-CD19 TRuC T-cells TC-110	UMLS:C5417911
Homologous Cell	UMLS:C3485979
CD56+ NK cell	UMLS:C4322733
Autologous Bispecific BCMA/CD19-targeted CAR-T Cells GC012F	UMLS:C5446552
Cells, CHO	UMLS:C0085080
ET-140202	UMLS:C5206468
ITIL-306	UMLS:C5706479
Cells, Lymphoid Stem	UMLS:C1955939
Memory B-Lymphocyte	UMLS:C0682638
Autologous GAP T Cells	UMLS:C4329326
T cells	UMLS:C0039194
Treg Cell	UMLS:C0039198
Cells, Blood	UMLS:C0005773
Autologous Anti-PD-1/Anti-PD-L1 Antibodies-expressing Anti-EGFRvIII CAR T Cells	UMLS:C4725796
phagocyte	UMLS:C0031307
CD4+CD25+ regulatory T cells	UMLS:C1267822
Nucleated erythrocytes	UMLS:C0014762
Autologous Universal CAR-T Cells UniCAR02-T	UMLS:C5446544
Autologous CD4+/CD8+ T Cells Expressing EGFR806-specific CAR/EGFRt and CD19-specific CAR/HER2tG	UMLS:C4761464
CD3/CD28 costimulated vaccine-primed autologous T-cells	UMLS:C2347257
autologous CD5.CAR/28zeta CAR T cells	UMLS:C4725073
anti-ACTR/4-1BB/CD3zeta-viral vector-transduced autologous T lymphocytes ACTR087	UMLS:C4329309
Autologous Anti-FMS-like Tyrosine Kinase 3 CAR T-cells TAA05	UMLS:C5666913
Infiltrating Lymphocytes, Tumor	UMLS:C0079722
Nucleated Red Cell	UMLS:C0014762
Autologous Anti-EGFR/Anti-IL13Ralpha2 CAR T-cells	UMLS:C5669986
Retinal Cone Photoreceptor Cells	UMLS:C0206428
Autologous Anti-CD19 CAR-T Cells 19(T2)28z1xx	UMLS:C5420310
tumor infiltrating lymphocytes	UMLS:C0079722
autologous anti-PSMA-CD28-CD137-CD27-CD3z-iCasp9 CAR T cells 4SCAR-PSMA	UMLS:C4725933
Abnormal lymphocytes &#x7C; Synovial fluid &#x7C; Hematology and Cell counts	UMLS:C5151351
suppressor cell	UMLS:C0038856
Cell Line, Hepatoblastoma G2	UMLS:C2717940
autologous CAR-CLD18.2 T cells	UMLS:C4727694
autologous AFP-CAR-transduced T cells ET1402L1	UMLS:C4733642
Autologous Anti-PSCA-CAR-4-1BB/TCRzeta-CD19t-expressing T-cells	UMLS:C4763825
Autologous Active IL-7 Receptor Co-expressing GD2-specific CAR T-cells	UMLS:C5206851
GT 202	UMLS:C5667111
therapeutic iNKT cells	UMLS:C4723769
erythrocyte	UMLS:C0014792
Multiple Antigen Specific Endogenously Derived T Cells	UMLS:C5556709
Autologous iC9-CART19 Cells	UMLS:C4553719
GEN 011	UMLS:C5555040
Lymphocytes.variant	UMLS:C2924459
Autologous Alpha-PNE Switchable CAR-T Cells CLBR001	UMLS:C5446633
Mouse Thymocyte	UMLS:C1522151
Peripheral (Post-Thymic) T-Lymphocyte and NK-Cell	UMLS:C1519006
Anti-CD19/CD79b Bispecific 4SCAR T-cells	UMLS:C5708221
Cell, Retinal Cone	UMLS:C0206428
Red Blood Cell	UMLS:C0014792
Cells, Acinar	UMLS:C0596030
Autologous Anti-Muc1/CD33/CD38/CD56/CD123 Gene-engineered CAR-T Cells	UMLS:C4726578
Secretory Cell	UMLS:C1519221
Autologous PBLs IOV-2001	UMLS:C5238365
Lines, Cell	UMLS:C0007600
GT-202	UMLS:C5667111
Common Lymphoid Progenitors	UMLS:C1955940
IOV 4001	UMLS:C5706421
Chimeric Antigen Receptor T Cells 4SCAR-FRa	UMLS:C4725932
HT-29 Cell	UMLS:C0282639
Epstein Barr Virus-specific LMP1/LMP2/EBNABARF1-targeting Autologous Cytotoxic T-lymphocytes	UMLS:C4289937
Autologous NK-like CTLs	UMLS:C4723770
Autologous Anti-MART-1 F5 TCR Gene Engineered TILs	UMLS:C5556445
Cell, Acini	UMLS:C0596030
MDG-1011	UMLS:C4733675
Neoantigen-loaded Autologous Dendritic Cells AV-GBM-1	UMLS:C4727558
nucleated cell	UMLS:C1180059
Autologous Follicle Stimulating Hormone Receptor-targeting Chimeric Endocrine Receptor T Cells	UMLS:C5670737
