Disease, Biliary Tract	UMLS:C0005424
crystal arthropathy	UMLS:C0152087
Disease, Immune System	UMLS:C0021053
adrenal glands disorders	UMLS:C0001621
Skin conditions	UMLS:C0037274
Diseases, Infectious	UMLS:C0009450
Prediction of Outcome	UMLS:C0033325
Immune System Disease	UMLS:C0021053
cells germ tumors	UMLS:C0205851
Encephalopathy, Portosystemic	UMLS:C0019151
Lymphoma NOS	UMLS:C0024299
Osseous Neoplasm	UMLS:C0005967
larynx diseases	UMLS:C0023051
Vein Disorder	UMLS:C0235522
spinal diseases	UMLS:C0037933
Recovery - healing process	UMLS:C2004454
Anorectal Disease	UMLS:C0687707
musculoskeletal disorders	UMLS:C0026857
chronic myeloproliferative neoplasms	UMLS:C1292778
LACRIMATION DISORDER	UMLS:C0022904
Diseases, Blood	UMLS:C0018939
Neuroepithelial Tumors	UMLS:C0206715
Cardiovascular Disease (CVD)	UMLS:C0007222
Lupus pernio, Besnier	UMLS:C0036202
Diseases, Dental Pulp	UMLS:C0011405
Wolffian tumor	UMLS:C1520159
mediastinal disease	UMLS:C0025061
Disease of seminal vesicle	UMLS:C0268896
Pituitary Gland Diseases	UMLS:C0032002
Hodgkin's lymphoma NOS	UMLS:C0019829
Myeloid leukemia	UMLS:C0023470
Temporomandibular Joint Disorder	UMLS:C0039494
hodgkins disease	UMLS:C0019829
Neonatal Diseases	UMLS:C0021290
spleen diseases	UMLS:C0037997
duodenal diseases	UMLS:C0013289
Genetic condition	UMLS:C0019247
nephropathy	UMLS:C0022658
Leukemia NOS	UMLS:C0023418
diseases of spleen	UMLS:C0037997
cerebrovascular diseases	UMLS:C0007820
Mediastinal disorders	UMLS:C0025061
Neoplasm, Mesothelial	UMLS:C3714739
Disorders of metabolism of ornithine, citrulline, argininosuccinic acid, arginine and ammonia	UMLS:C0154246
Gingival Diseases	UMLS:C0017563
clotting disorder	UMLS:C0005779
neoplastic growth	UMLS:C0027651
Infectious Disorder	UMLS:C0009450
Disease, Schaumann	UMLS:C0036202
Bladder Disease	UMLS:C0005686
Leukemias, Myeloid	UMLS:C0023470
CTDC Property Terminology	UMLS:C5420019
